Wall time,Step,Value
1618299434.531329,5,1.399999976158142
1618299463.871854,6,2.299999952316284
1618299581.772167,10,1.7999999523162842
1618299611.784927,11,1.600000023841858
1618299671.109946,13,2.700000047683716
1618299701.1004,14,3.799999952316284
1618299730.335676,15,3.4000000953674316
1618299789.320449,17,2.0999999046325684
1618299819.121618,18,3.0999999046325684
1618299849.28029,19,3.5
1618299879.397936,20,3.5
1618299998.472434,24,2.5
1618300265.605558,33,1.899999976158142
1618300294.565061,34,2.0
1618300354.126199,36,1.899999976158142
1618300442.854478,39,3.0999999046325684
1618300472.176309,40,3.200000047683716
1618300531.287165,42,2.5
1618300590.653009,44,2.0999999046325684
1618300619.964806,45,2.0
1618300679.10399,47,1.600000023841858
1618300738.445937,49,1.7000000476837158
1618300768.743506,50,1.7999999523162842
1618300988.558604,53,2.0999999046325684
1618301018.575754,54,2.0
1618301048.449168,55,2.0999999046325684
1618301078.395264,56,2.299999952316284
1618301108.466942,57,2.200000047683716
1618301197.807785,60,-0.30000001192092896
1618301227.597196,61,0.5
1618301287.411917,63,1.5
1618301347.251261,65,2.4000000953674316
1618301377.50034,66,2.0999999046325684
1618301407.894147,67,1.7000000476837158
1618301437.933776,68,1.399999976158142
1618301525.727717,71,2.700000047683716
1618301555.554048,72,2.700000047683716
1618301585.216913,73,2.0
1618301614.409933,74,3.799999952316284
1618301673.704241,76,3.5999999046325684
1618301762.786646,79,1.399999976158142
1618301909.432821,84,0.8999999761581421
1618301939.371479,85,0.5
1618301968.860817,86,0.699999988079071
1618301999.217858,87,1.600000023841858
1618302029.155978,88,2.0
1618302059.015088,89,4.5
1618302209.377102,94,2.200000047683716
1618302485.988655,102,1.600000023841858
1618302573.824766,105,2.200000047683716
1618302602.598614,106,3.5999999046325684
1618302808.260819,113,2.0
1618302898.167624,116,3.0
1618302956.495064,118,5.800000190734863
1618302986.84223,119,5.699999809265137
1618303017.235959,120,5.0
1618303140.58405,124,4.300000190734863
1618303171.452865,125,4.099999904632568
1618303202.169642,126,3.9000000953674316
1618303290.433508,129,2.9000000953674316
1618303320.321407,130,1.7000000476837158
1618303409.784538,133,1.7000000476837158
1618303529.202451,137,1.0
1618303588.589677,139,2.4000000953674316
1618303648.716071,141,4.199999809265137
1618303678.223918,142,0.800000011920929
1618303707.774578,143,1.899999976158142
1618303737.85706,144,2.200000047683716
1618303857.86161,148,3.200000047683716
1618303918.162729,150,5.900000095367432
1618304119.070844,153,3.200000047683716
1618304147.877339,154,3.299999952316284
1618304176.539216,155,4.300000190734863
1618304234.299392,157,5.699999809265137
1618304269.24503,158,2.299999952316284
1618304297.780179,159,2.5999999046325684
1618304383.657482,162,2.5999999046325684
1618304441.269656,164,4.699999809265137
1618304469.922913,165,4.900000095367432
1618304526.553961,167,6.099999904632568
1618304555.153379,168,7.599999904632568
1618304643.046709,171,1.399999976158142
1618304800.226319,176,2.5999999046325684
1618304831.140569,177,2.9000000953674316
1618304861.865801,178,3.0999999046325684
1618304923.552908,180,3.799999952316284
1618304954.644437,181,3.9000000953674316
1618305016.869985,183,2.9000000953674316
1618305078.637902,185,2.299999952316284
1618305108.735485,186,3.4000000953674316
1618305138.975813,187,4.199999809265137
1618305170.16601,188,3.9000000953674316
1618305231.317401,190,7.800000190734863
1618305261.801129,191,7.0
1618305475.664571,198,4.800000190734863
1618305695.195868,202,10.600000381469727
1618305820.358324,206,6.199999809265137
1618305850.930449,207,7.0
1618305880.962668,208,7.599999904632568
1618306001.036818,212,7.099999904632568
1618306092.243522,215,9.800000190734863
1618306181.962381,218,11.199999809265137
1618306212.237456,219,10.800000190734863
1618306303.519829,222,5.599999904632568
1618306333.650326,223,4.800000190734863
1618306393.19655,225,7.900000095367432
1618306423.498055,226,7.699999809265137
1618306454.029122,227,8.199999809265137
1618306513.846067,229,6.400000095367432
1618306544.115695,230,7.699999809265137
1618306604.648352,232,8.199999809265137
1618306634.968244,233,11.399999618530273
1618306664.863465,234,13.600000381469727
1618306755.370273,237,7.800000190734863
1618306845.447971,240,4.0
1618306998.929329,245,5.900000095367432
1618307058.662461,247,8.699999809265137
1618307118.146765,249,8.199999809265137
1618307147.720579,250,9.100000381469727
1618307416.453,255,7.400000095367432
1618307507.567647,258,8.100000381469727
1618307538.337064,259,3.0999999046325684
1618307567.777485,260,4.099999904632568
1618307598.622596,261,7.300000190734863
1618307658.717696,263,11.5
1618307779.406774,267,13.800000190734863
1618307839.627005,269,8.199999809265137
1618307899.984123,271,11.199999809265137
1618307959.800731,273,14.399999618530273
1618308109.055989,278,15.100000381469727
1618308168.565492,280,1.899999976158142
1618308289.666578,284,10.5
1618308440.370509,289,4.599999904632568
1618308500.006993,291,10.600000381469727
1618308529.500696,292,11.600000381469727
1618308619.835362,295,10.699999809265137
1618308679.589052,297,12.899999618530273
1618308709.286619,298,6.599999904632568
1618308740.052058,299,5.699999809265137
1618309035.984319,301,3.0
1618309066.917304,302,6.400000095367432
1618309097.158061,303,9.100000381469727
1618309217.316291,307,7.099999904632568
1618309248.298472,308,8.600000381469727
1618309308.07755,310,13.600000381469727
1618309398.962555,313,20.399999618530273
1618309519.385512,317,5.599999904632568
1618309549.799214,318,1.5
1618309579.832703,319,1.100000023841858
1618309610.383112,320,2.0999999046325684
1618309670.967602,322,5.400000095367432
1618309760.428843,325,9.300000190734863
1618309789.994339,326,12.399999618530273
1618309819.916714,327,12.800000190734863
1618309910.329344,330,16.299999237060547
1618309940.4922,331,16.899999618530273
1618310000.965008,333,16.600000381469727
1618310181.843486,339,8.0
1618310241.832592,341,3.4000000953674316
1618310330.150196,344,13.100000381469727
1618310360.770925,345,17.600000381469727
1618310421.139818,347,22.200000762939453
1618310451.466928,348,18.600000381469727
1618310769.12159,353,18.0
1618310798.168392,354,20.100000381469727
1618310856.802319,356,22.200000762939453
